cd_curso,semestre,courseid,Users per course,Start Date,End Date,Course duration days,cuttoff_point
4969,S2,400023.0,5,2021-02-08,2021-06-18,131.0,2021-02-01
4969,S2,400081.0,1,2021-02-08,2021-06-18,131.0,2021-02-01
4969,S2,400092.0,30,2021-02-08,2021-06-18,131.0,2021-02-01
4969,S2,400093.0,30,2021-02-08,2021-06-18,131.0,2021-02-01
4969,T1,200073.0,2,2020-09-07,2020-10-30,54.0,2020-08-31
4969,T1,200192.0,2,2020-09-07,2020-10-30,54.0,2020-08-31
4969,T1,200204.0,3,2020-09-07,2020-10-30,54.0,2020-08-31
4969,T1,400095.0,20,2020-09-07,2020-10-30,54.0,2020-08-31
4969,T2,200195.0,1,2020-11-02,2021-01-22,82.0,2020-10-26
4969,T2,200197.0,1,2020-11-02,2021-01-22,82.0,2020-10-26
4969,T2,400020.0,5,2020-11-02,2021-01-22,82.0,2020-10-26
4969,T2,400096.0,20,2020-11-02,2021-01-22,82.0,2020-10-26
4969,T3,200068.0,10,2021-02-08,2021-04-09,61.0,2021-02-01
4969,T3,200210.0,6,2021-02-08,2021-04-09,61.0,2021-02-01
4969,T3,400040.0,30,2021-02-08,2021-04-09,61.0,2021-02-01
4969,T4,200194.0,11,2021-04-12,2021-06-11,61.0,2021-04-05
4969,T4,200217.0,2,2021-04-12,2021-06-11,61.0,2021-04-05
4969,T4,400094.0,30,2021-04-12,2021-06-11,61.0,2021-04-05
4972,S2,400011.0,27,2021-02-08,2021-06-18,131.0,2021-02-01
4972,S2,400074.0,27,2021-02-08,2021-06-18,131.0,2021-02-01
4972,S2,400075.0,27,2021-02-08,2021-06-18,131.0,2021-02-01
4972,S2,400124.0,27,2021-02-08,2021-06-18,131.0,2021-02-01
4973,S1,200209.0,69,2020-09-07,2021-01-15,131.0,2020-08-31
4973,S1,400083.0,68,2020-09-07,2021-01-15,131.0,2020-08-31
4973,S1,400086.0,69,2020-09-07,2021-01-15,131.0,2020-08-31
4973,S2,400084.0,79,2021-02-08,2021-06-18,131.0,2021-02-01
4973,S2,400088.0,79,2021-02-08,2021-06-18,131.0,2021-02-01
4973,S2,400089.0,80,2021-02-08,2021-06-18,131.0,2021-02-01
4973,S2,400090.0,85,2021-02-08,2021-06-18,131.0,2021-02-01
4973,T1,400087.0,69,2020-09-07,2020-10-30,54.0,2020-08-31
4973,T2,200206.0,68,2020-11-02,2021-01-22,82.0,2020-10-26
4974,S2,400103.0,30,2021-02-08,2021-06-18,131.0,2021-02-01
4974,S2,400104.0,30,2021-02-08,2021-06-18,131.0,2021-02-01
4974,S2,400105.0,31,2021-02-08,2021-06-18,131.0,2021-02-01
4974,S2,400106.0,31,2021-02-08,2021-06-18,131.0,2021-02-01
4974,S2,400107.0,31,2021-02-08,2021-06-18,131.0,2021-02-01
4974,S2,400108.0,31,2021-02-08,2021-06-18,131.0,2021-02-01
4974,S2,400109.0,31,2021-02-08,2021-06-18,131.0,2021-02-01
4974,T1,400097.0,33,2020-09-07,2020-10-30,54.0,2020-08-31
4974,T1,400098.0,32,2020-09-07,2020-10-30,54.0,2020-08-31
4974,T1,400099.0,33,2020-09-07,2020-10-30,54.0,2020-08-31
4974,T2,400100.0,32,2020-11-02,2021-01-22,82.0,2020-10-26
4974,T2,400101.0,29,2020-11-02,2021-01-22,82.0,2020-10-26
4974,T2,400102.0,31,2020-11-02,2021-01-22,82.0,2020-10-26
4977,S1,200012.0,6,2020-09-07,2021-01-15,131.0,2020-08-31
4977,S1,200032.0,1,2020-09-07,2021-01-15,131.0,2020-08-31
4977,S1,200101.0,1,2020-09-07,2021-01-15,131.0,2020-08-31
4977,S1,200165.0,2,2020-09-07,2021-01-15,131.0,2020-08-31
4977,S1,200186.0,1,2020-09-07,2021-01-15,131.0,2020-08-31
4977,S1,200187.0,19,2020-09-07,2021-01-15,131.0,2020-08-31
4977,S1,200189.0,2,2020-09-07,2021-01-15,131.0,2020-08-31
4977,S1,200196.0,4,2020-09-07,2021-01-15,131.0,2020-08-31
4977,S1,200201.0,20,2020-09-07,2021-01-15,131.0,2020-08-31
4977,S1,400082.0,5,2020-09-07,2021-01-15,131.0,2020-08-31
4977,S2,200049.0,1,2021-02-08,2021-06-18,131.0,2021-02-01
4977,S2,200135.0,1,2021-02-08,2021-06-18,131.0,2021-02-01
