,id,category,sortorder,fullname,shortname,idnumber,summary,summaryformat,format,showgrades,newsitems,startdate,marker,maxbytes,legacyfiles,showreports,visible,visibleold,groupmode,groupmodeforce,defaultgroupingid,lang,calendartype,theme,timecreated,timemodified,requested,enablecompletion,completionnotify,cacherev
1379,1399.0,1.0,12589.0,nombre,"T_1C,A_13892","T_1C,A_13892",-,1.0,topics,1.0,1.0,1431381600.0,10.0,41943040.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,1307621167.0,1431435174.0,0.0,0.0,0.0,1431700517.0
1380,1400.0,1.0,12588.0,nombre,"T_1C,A_13379","T_1C,A_13379",-,1.0,topics,1.0,1.0,1393369200.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1315933106.0,1393434315.0,0.0,0.0,0.0,1425313993.0
1381,1401.0,1.0,12587.0,nombre,"T_1C,A_13987","T_1C,A_13987",-,1.0,topics,1.0,1.0,1347919200.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307629307.0,1347965184.0,0.0,0.0,0.0,1425313993.0
1382,1402.0,1.0,12586.0,nombre,"T_1C,A_13893","T_1C,A_13893",-,1.0,topics,1.0,1.0,1380664800.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307604090.0,1380715586.0,0.0,0.0,0.0,1425313993.0
1383,1403.0,1.0,12585.0,nombre,"T_1C,A_13998","T_1C,A_13998",-,1.0,topics,1.0,1.0,1379282400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307621531.0,1379357598.0,0.0,0.0,0.0,1425313993.0
1384,1404.0,1.0,12584.0,nombre,"T_1C,A_13520","T_1C,A_13520",-,0.0,topics,1.0,5.0,1426460400.0,0.0,41943040.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,1363869803.0,1426526802.0,0.0,0.0,0.0,1430164329.0
1385,1405.0,1.0,12583.0,nombre,"T_1C,A_13897","T_1C,A_13897",-,0.0,topics,1.0,5.0,1392591600.0,0.0,41943040.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1392369980.0,1392641757.0,0.0,0.0,0.0,1425313993.0
1386,1406.0,1.0,12582.0,nombre,"T_1C,A_13122","T_1C,A_13122",-,1.0,topics,1.0,1.0,1349215200.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307616623.0,1349254181.0,0.0,0.0,0.0,1425313993.0
1387,1407.0,1.0,12581.0,nombre,"T_1C,A_13935","T_1C,A_13935",-,1.0,topics,1.0,1.0,1412114400.0,0.0,41943040.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,1307609061.0,1412177201.0,0.0,0.0,0.0,1425313993.0
1388,1408.0,1.0,12580.0,nombre,"T_1C,A_13387","T_1C,A_13387",-,1.0,topics,1.0,1.0,1414015200.0,0.0,41943040.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,1307630299.0,1414070532.0,0.0,0.0,0.0,1425313993.0
1389,1409.0,1.0,12579.0,nombre,"T_1C,A_13369","T_1C,A_13369",-,1.0,topics,1.0,1.0,1413237600.0,0.0,41943040.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,1315928627.0,1413287350.0,0.0,0.0,0.0,1425313993.0
